Percentage of Low Income People,Education.Bachelor's Degree or Higher,Income.Median Houseold Income
0.31351395,26.6,58731
0.290533523,31.9,58320
0.50084168,11.6,32525
0.397779789,10.4,47542
0.360548304,13.1,49358
0.464441796,12.1,37785
0.478633898,16.1,40688
0.410317553,18.5,47255
0.445439768,13.3,42289
0.410292017,12.8,41919
0.410825092,12.7,47468
0.472236754,11.9,35892
0.455314362,12.2,37404
0.43671193,10.6,40845
0.410143653,15.4,44741
0.322357854,22.8,55637
0.35770437,18.1,48065
0.576164875,12.8,37837
0.406287016,12.8,38990
0.402615156,15.3,42189
0.440770906,17.4,43163
0.405290824,13.9,44918
0.410018711,18.1,47214
0.561353243,14.7,33845
0.484236164,13,40440
0.280412343,25.1,60891
0.505799323,12.5,36275
0.373931228,17.8,44637
0.444312012,12.4,39856
0.457526984,14,43514
0.43788723,12.5,41732
0.648551175,10.1,24145
0.5,14.2,34046
0.410392696,17.1,50017
0.386899628,21.7,47580
0.457015369,14,41769
0.355782065,33.4,53901
0.450815814,11.9,38364
0.36812751,23.5,48094
0.366283802,12.6,44886
0.387746531,35.3,51463
0.322436793,25.7,59686
0.542475948,14.7,30036
0.503818289,20.4,33370
0.285462189,42.8,65449
0.478746169,16.1,33241
0.464376222,12.8,35930
0.427696614,19.4,45983
0.395368011,23.2,47583
0.528331214,13.5,30441
0.412416122,33.4,50124
0.366079087,22.4,52156
0.682196499,22.8,23447
0.460304957,14.1,39848
0.509382812,23.7,37446
0.408711903,16.5,43395
0.4268138,17.8,42443
0.213327142,42.9,77799
0.321658472,16.1,58308
0.617494251,21.6,24320
0.444043081,15,41325
0.420006702,18.4,45828
0.351865931,30.7,53326
0.428676423,11.3,43629
0.445937225,12.7,41370
0.540074195,12.5,31014
0.460245549,12.8,35788
0.355475173,11.5,69250
0.288183807,17,87466
0.193334744,36.1,84928
0.563060005,11.9,53553
0.203610832,22.5,79808
0.330777656,41.1,81719
0.457123864,22.1,56898
0.227571937,31.4,76992
0.316666667,33.8,58059
0.313488372,21.3,59803
0.154686579,38.4,88390
0.290946747,24.6,66064
0.2305667,25.3,72728
0.260464266,28,85839
0.416309013,16.1,44135
0.249462469,21.6,75493
0.545527157,16.1,61048
0.261269147,16.5,79306
0.59769405,13.2,60906
0.175262055,28.4,69948
0.345454545,18.3,52379
0.207223079,33.4,73682
0.17721519,29.6,73906
0.285092981,19.7,70056
0.25984252,19.4,53894
0.371534196,22.6,71607
0.484105707,13.6,41413
0.614339434,12.3,32508
0.383830633,23.1,49260
0.367013521,36.2,59460
0.437561671,18.7,43524
0.414601644,15.2,51353
0.403966438,13.5,63473
0.512047559,12,34643
0.303091088,32.7,64468
0.419733111,12.9,45587
0.526748542,15.3,40067
0.353498933,32.4,53379
0.340289766,19.5,58174
0.525629217,20.4,41259
0.342092783,25.9,52451
0.44484961,15,45243
0.436550018,15.8,46696
0.450563792,12.3,44744
0.371650914,17.9,42260
0.286397317,33.4,66362
0.393709158,16.1,45374
0.460409924,14.3,43184
0.406482861,11.4,46417
0.406217872,21.2,46110
0.514036688,15.9,34147
0.427906977,26.6,41620
0.459224599,12.6,37233
0.371718737,15.5,44483
0.410818343,16.2,46684
0.448366394,19.6,36193
0.408651019,15.6,42802
0.439425567,26.2,47286
0.405716694,16,46828
0.492017848,17.4,40161
0.4252386,14.4,46787
0.48482195,11.9,38072
0.57168507,14.1,31893
0.392576363,22.8,46997
0.359513838,30.6,52827
0.447221548,12.1,38923
0.496927737,12.2,35405
0.40091467,21.6,44777
0.355475985,18.7,55388
0.386390517,16.2,47056
0.473179157,15.1,42860
0.401941748,13.3,43889
0.458795563,13.6,36059
0.424892576,17.5,44319
0.415178916,13.1,42876
0.518300109,10.1,34109
0.441606062,18,40726
0.504280224,15.4,38511
0.498717218,15.8,32397
0.438366303,15.4,39993
0.502897351,10.7,29681
0.474971231,9.7,46596
0.414864206,12.5,45113
0.473548515,13.3,41466
0.314943435,20.6,59094
0.433472448,14.2,41682
0.463626134,17.1,36719
0.428556882,16.8,43371
0.510475369,13.8,39962
0.497617218,12.7,38468
0.443331866,13.5,35741
0.521241226,14.6,38042
0.420982414,20.5,38082
0.48111289,14.5,35425
0.383129362,12.7,48667
0.528322386,13.8,29320
0.457224335,17.3,40401
0.487099143,11.1,40921
0.503852993,14.1,37974
0.422545638,22.8,43462
0.432384864,15.4,42660
0.382676789,34.3,51749
0.46770692,13.8,37218
0.250625699,26.7,64412
0.539992158,9.3,36092
0.498109403,11.9,36438
0.412100587,21.3,46228
0.459351145,12.8,47704
0.533432117,10.2,34671
0.440631768,10.4,35348
0.477362453,13.9,38188
0.418388292,21.1,44663
0.476006382,14.5,38499
0.371832251,33.3,50451
0.40008888,20.9,44029
0.454621149,14,32845
0.462299556,12.8,43923
0.195975913,47.4,99406
0.355744681,34.5,63750
0.252067743,19.3,62772
0.382193101,27.2,52537
0.311075409,18.3,63158
0.338662124,15,59401
0.182494638,42.4,99716
0.437614314,14.8,45283
0.206554216,34.3,83377
0.439865501,21.2,53969
0.433866654,14.2,49633
0.393866718,30.4,48041
0.484703975,15.2,47622
0.25570454,27.2,57316
0.415122369,16.4,53350
0.332904386,14.7,57848
0.422681612,15.5,47040
0.212128146,12.9,56352
0.308168131,32.5,68044
0.413704435,14.6,57585
0.121759364,59.5,115246
0.342175374,24.6,48820
0.388562302,24.4,51416
0.453508628,13.8,53672
0.438349455,15.2,45507
0.301833302,28.8,62260
0.312482713,24.7,71015
0.225780197,35.7,88596
0.2540538,37.2,66096
0.214361685,40.6,90234
0.189722117,39.7,89691
0.262081658,23.7,55359
0.328141863,22.3,67005
0.303692572,30.9,67151
0.231293706,19.7,86958
0.368387183,21,63362
0.233685283,38.8,78980
0.255829613,58.1,112449
0.343225443,18.8,64432
0.259382423,35.4,73518
0.117030288,51,122641
0.282384433,34.2,74624
0.161530089,52.4,124055
0.253034164,40.8,82234
0.352355171,22.2,54667
0.294135802,17.9,52148
0.409631604,23.2,45241
0.210684237,26.9,81472
0.213584443,35.5,81018
0.364084362,17.1,60704
0.355357452,18.2,59050
0.447117711,15.7,44514
0.42074974,19.5,40846
0.492194067,14.6,49687
0.28145517,20.5,60108
0.203803697,33.8,88131
0.263641366,41.4,70228
0.371394639,17.1,58054
0.283891552,24.3,71202
0.455577366,25,37515
0.201954889,42.8,77469
0.338453573,37.2,52221
0.448111332,21.4,35878
0.481514716,11.4,30900
0.19954548,62.1,83019
0.140963124,55.7,96416
0.311985299,33.8,55771
0.310529846,19.2,53977
0.189087044,48.1,67060
0.527967456,21,36084
0.579738933,19.3,30965
0.547895792,9,42135
0.388204981,32.5,53119
0.394426109,21.7,45269
0.326742798,49.4,68592
0.373062016,24.1,45972
0.086364861,58,119730
0.241009511,47.2,84790
0.251935286,38.5,68779
0.159445328,35.8,99199
0.299365964,18.5,49409
0.265715249,31,75937
0.135820621,39.6,76429
0.245160241,38,71198
0.308044265,56.2,56577
0.347048301,45.7,56339
0.358175751,21.1,38137
0.334778838,20,53300
0.175245393,45.2,82986
0.356223176,21.4,41731
0.34828826,18.7,49349
0.234223532,44.2,68685
0.445772844,32.3,50565
0.245362996,47.3,71881
0.413684133,19.5,41817
0.324371421,12.6,47258
0.347302479,20.2,53318
0.303637453,28.2,55379
0.267932489,46.5,62188
0.36806091,17.6,57229
0.361335239,29.6,49470
0.354654882,25.2,50489
0.345397785,17.5,53682
0.456592102,18.6,38169
0.240573553,47.8,66417
0.191707192,29.8,73622
0.308310992,23.8,51155
0.187505051,60.8,78935
0.380942275,18.3,41929
0.402641001,21.8,46783
0.28621616,22.7,54357
0.379952456,24.5,39123
0.233680617,49.8,77443
0.471552795,22.1,38571
0.291845494,35.7,54625
0.244022504,59.4,67038
0.390604027,19.5,43150
0.217046973,52.4,79277
0.241747478,37.7,66592
0.283373623,15.4,50094
0.266814043,27.5,74150
0.382904884,21.8,52022
0.161650504,47.9,95645
0.178900895,38.1,75148
0.161235569,35.4,79906
0.161736382,42.2,85898
0.22222327,35,69905
0.219806519,33.3,73490
0.202461803,41.8,87069
0.223844356,24.3,66550
0.32270116,23.7,60910
0.217746096,36.2,73892
0.281593704,28.3,63162
0.34064904,58.5,86420
0.374023133,43.3,49689
0.339439947,13.2,63275
0.344803514,23.7,54316
0.372124233,9.9,45921
0.305810972,30.2,56775
0.309691776,32.4,59547
0.411905474,9.5,38568
0.310366542,23.4,51499
0.394100621,18.3,44237
0.273918561,24.9,65740
0.282784937,36.4,69653
0.381342035,14.9,46494
0.56465318,11.5,35438
0.480314961,10.4,39828
0.343606578,30,55807
0.32442224,26.5,50915
0.341689048,25.1,54514
0.454174479,18.8,46643
0.464402648,16.2,41401
0.409924208,13.4,43640
0.401117665,11.2,40977
0.365069698,19.2,47712
0.567551446,7.9,38569
0.54115338,10.2,38682
0.557116463,8.3,40820
0.362567919,18.4,48812
0.43104322,17.2,40942
0.324143288,33.5,58884
0.496466239,10.7,39102
0.33188127,29.1,54740
0.428675965,12.6,39872
0.389102419,22.3,47240
0.510039146,11.8,50165
0.334157094,24,54513
0.319780521,28.2,57832
0.349015268,46.2,53106
0.490067461,12.2,37326
0.466255351,14.4,38015
0.502320469,14,37037
0.28597776,29.8,59009
0.397683824,20.1,45371
0.254119761,34.1,61133
0.358639838,29.8,51347
0.271154508,34.4,70033
0.256792249,29.6,69943
0.282983999,31.1,63412
0.508077002,11.3,41760
0.357865304,34.6,58254
0.424598783,21.8,52279
0.285384873,36.7,63299
0.335344923,24,52828
0.306182191,31.7,54090
0.39155001,20.2,50584
0.506997041,12.3,37670
0.263725572,27.7,67949
0.24370487,35.4,62236
0.2508751,39.6,66768
0.213024249,44.7,82252
0.361231703,21.6,52322
0.235853463,31.8,57226
0.422415763,15.5,47839
0.44050269,8.3,40306
0.441150045,9.2,44270
0.351442618,23.7,49494
0.285816254,18.3,61410
0.344376967,28.5,58093
0.488483437,12.5,37022
0.47108392,9.8,40304
0.570573566,12.2,37197
0.520161669,10.5,37519
0.49608809,12.9,32917
0.492786305,23.3,43672
0.443544441,13.4,47811
0.328215747,19,62345
0.364804719,18.6,57423
0.530195325,11.2,32229
0.507086521,11.4,40415
0.460306036,25.4,41334
0.493210551,18.7,48174
0.543245815,8.9,38857
0.49825077,17.8,38285
0.272131863,33.1,72624
0.494442031,27,45550
0.469867712,13.2,44151
0.39246258,12.2,43471
0.600443383,9.1,34167
0.330638107,23.9,56951
0.584364686,13,33736
0.390437669,21.1,53737
0.26705173,21.4,56235
0.454003559,8.8,41961
0.342790935,33.6,56842
0.396290051,29.5,47096
0.496862105,8.9,36807
0.199288197,38.2,82740
0.553046285,44,38623
0.631852741,12.5,22325
0.452901255,19.5,47864
0.603451251,10,27658
0.23304497,47.4,77932
0.485309181,13,40859
0.488384007,12.8,36435
0.19763812,36.4,82339
0.479916148,13.5,41854
0.261115281,30.3,75913
0.422882027,10.5,46283
0.545074252,14.1,36042
0.354675598,15.2,42581
0.273759421,30.6,66281
0.355055859,44.2,62399
0.444019941,13.8,41481
0.45934834,14.3,39302
0.506240639,12.1,37340
0.5454891,21.4,39584
0.316987276,28.2,63835
0.530805687,15.1,30640
0.45314824,9.7,39494
0.263471271,20,66822
0.461467229,11.6,38678
0.526987812,13,37453
0.454693878,15.8,42607
0.346529657,21.8,47997
0.168123348,46.2,90145
0.415156372,20.9,48336
0.148668337,53.1,107218
0.468123227,15.9,42488
0.311244134,52.9,69673
0.375736033,20.4,52625
0.35853342,11.6,45000
0.363516294,29.9,52977
0.428123517,14.7,45865
0.441256336,13.9,43531
0.437387537,26.9,52129
0.282494587,36.9,71026
0.378172589,19.3,50563
0.336498039,24.5,62984
0.508299227,8.6,31860
0.38148381,14.8,48550
0.222207822,31.4,76319
0.459112639,15.7,43204
0.367948164,8.7,51358
0.260567546,28.5,71288
0.3189552,28.3,61723
0.464801865,15.1,37736
0.303481809,22.7,65385
0.462154675,14.2,51250
0.527448177,10.3,36669
0.495612773,9.9,33944
0.542245989,7.9,27375
0.375013844,9.1,42446
0.34112968,19.6,56020
0.395258675,15.8,44846
0.47482416,16.5,40986
0.504404086,16.2,39120
0.27643125,25.4,69280
0.463225242,18.3,48007
0.431351496,15.9,39742
0.411940516,17.4,54605
0.46864279,25.3,42441
0.365427073,26.4,51790
0.491906127,8.8,32161
0.411149572,18.5,52500
0.414838405,13.4,44643
0.465743626,14,43468
0.394656772,17.6,49504
0.461885856,10.4,37121
0.408473221,14,44542
0.498610539,9.7,38116
0.33978783,26.8,54754
0.412367449,16,41996
0.291191103,20.7,66178
0.432882555,10.1,48033
0.418417575,25.8,46408
0.371327391,19.8,56316
0.161285146,52.3,90751
0.40584898,17.1,47120
0.279633988,22.6,68370
0.424898891,20.5,46636
0.303344748,23.1,67631
0.41764124,12.6,42804
0.273669819,17.1,64878
0.440153097,13.7,44891
0.410235359,13.2,45148
0.412663205,23.4,51606
0.446876244,7.1,26667
0.425543515,24.2,42500
0.568913078,10.3,31699
0.457539267,21.4,42728
0.35764882,26.3,60189
0.436116236,13.3,44448
0.466166576,15.4,39842
0.457638986,16.2,33357
0.443854339,17.8,47111
0.417438142,21,47164
0.54772014,12.2,29732
0.494184817,18.3,36681
0.450400583,12.1,38549
0.521258008,8.1,37446
0.467833736,13.2,40730
0.502313897,12.6,33832
0.5654095,8.6,32405
0.503847211,11.2,34768
0.44521304,24.7,43740
0.421379331,18.1,45639
0.492789783,16.2,40175
0.373697917,30.1,48219
0.434610758,12.4,32241
0.4070289,19,45649
0.44212963,11.7,37039
0.470068807,11.8,34879
0.345365854,22.5,50021
0.437771377,13.4,37640
0.41504754,16.6,46157
0.293974015,21.7,61599
0.446980028,15.2,36869
0.535457727,12.3,37203
0.467725814,12.3,38068
0.448334975,13,45483
0.473247928,14.7,37297
0.50518798,13.6,30192
0.370087678,22.7,52493
0.443045564,15.7,48623
0.507498027,12.2,36964
0.507451798,13.8,37838
0.459601611,10.9,38996
0.37850842,11,45398
0.324865946,29.4,62409
0.179976626,35,85857
0.177777778,24.2,69375
0.232463154,29.2,83554
0.219480631,27.2,80948
0.251988094,38.5,66293
0.368736212,21.2,48856
0.376866777,27.8,51734
0.298654348,18.9,54167
0.399703424,15.2,47556
0.376004932,21.2,55472
0.342254466,35.4,56694
0.334800469,27.1,59646
0.334755404,23.8,50256
0.326295729,31.3,60615
0.339377485,19.8,43423
0.349457058,16.2,42132
0.444941808,16.3,39688
0.424057085,18.7,52134
0.286259542,19,59053
0.407262406,18.6,52935
0.50712831,12.2,46154
0.359730166,17.9,43915
0.46630813,24.4,40875
0.408672421,18.7,46855
0.308473944,17.7,57215
0.378674143,21.7,58065
0.393145534,17.5,45492
0.417287318,17.2,47204
0.47233029,19.8,41516
0.358184765,24.7,63048
0.425269405,16.1,52921
0.295680486,25.2,57242
0.347515845,45.4,49158
0.419947121,22.9,39324
0.388661202,17.9,41198
0.428187404,10.3,50053
0.534307924,36.4,39160
0.432222993,14.1,53370
0.306962025,22.9,58107
0.372793918,17.1,53841
0.392786234,12,43798
0.358551452,15.7,50579
0.41345651,15.1,48823
0.404141617,11.5,39386
0.263724662,41,74216
0.374515947,20.6,52919
0.358328286,30.4,64475
0.409102531,16.3,40992
0.282166083,25,52993
0.496479728,12.9,36806
0.309861833,22.9,57289
0.268506983,23.5,69272
0.258217822,14.1,61655
0.286042397,20.6,57436
0.27648797,14.2,63009
0.274769208,19.5,52410
0.334514319,15.1,52373
0.333917701,45,52797
0.320966314,17.1,52834
0.31716467,19.9,56531
0.343942073,15,48500
0.227076809,22.3,66639
0.436351227,26,46202
0.296336867,38.8,64660
0.296464031,17.1,49779
0.27660572,15.4,56206
0.254069767,21.3,55587
0.355152578,32.3,63317
0.321055216,18.9,56714
0.157502304,49.4,92809
0.311880551,17.2,53647
0.2763883,13.9,51080
0.238702975,22.7,56685
0.434817395,11.3,46650
0.308205658,21.4,52092
0.407224858,16.7,42769
0.356559261,17.6,51643
0.424584004,10.9,44076
0.332623898,12.8,49885
0.204031624,22.9,77350
0.275382263,17,54046
0.316231606,21,52561
0.385595568,10.8,51250
0.309760058,18.3,53676
0.257794289,23.3,59933
0.338847228,15.9,52700
0.467935109,34.1,37241
0.274008115,16.6,54256
0.361028506,17.9,49896
0.233055832,20.3,63028
0.24520751,25,57946
0.424709009,16,52774
0.223779622,33.1,79394
0.299258579,20.8,58902
0.180157618,36.2,96563
0.338928545,18.9,44129
0.28481257,17.8,58142
0.19557967,45.3,89427
0.364986014,14.9,46636
0.26653614,18.2,58194
0.294367384,14.8,55160
0.242893194,19.9,57308
0.324679678,22.1,50480
0.301686479,18.4,55159
0.2821507,26.8,60738
0.390727494,15.2,47519
0.265099642,18.9,58465
0.379778437,16,48417
0.374021151,13.9,47481
0.38723679,32.2,44471
0.167074005,34.4,86799
0.294760643,44.8,67675
0.2281978,24,74684
0.252017026,17.4,59787
0.140993543,35,85747
0.349655019,16.7,52748
0.336644556,19.3,51437
0.266531275,18.6,61456
0.262801514,21.4,60986
0.346339345,30.6,55842
0.339129143,12.5,52428
0.195136819,28.6,70849
0.394087927,17.8,47492
0.357286939,13.1,38056
0.506244175,12.5,34640
0.228514324,16.6,63638
0.336219595,13.3,53816
0.34192673,21,48894
0.313754343,23.5,54858
0.426960855,19.2,44090
0.268926525,34.5,61912
0.363665339,20.4,52357
0.287021475,15.8,57118
0.311845205,16.8,52953
0.323606174,28,55179
0.321654988,17,54907
0.29022955,19.6,48805
0.244488162,26.3,63454
0.364752086,21.7,50625
0.370360254,14.7,46515
0.300178465,18.2,50770
0.256365372,22.8,50310
0.228530363,20.9,61763
0.344064241,15.4,50251
0.352739425,15.5,49290
0.287433666,18.2,54232
0.182175369,34.3,86961
0.333008564,24.3,50734
0.318439047,22.9,54489
0.203061769,33.2,72808
0.358885234,15.5,52504
0.317414301,28.5,54857
0.29236786,33.5,63431
0.384400373,16.1,49488
0.37409536,13.5,43505
0.15893354,49.3,83077
0.27299426,28.9,61030
0.271551981,16.7,54806
0.364579986,13.3,49415
0.267326272,21.2,55630
0.28411797,17,55637
0.305719375,16.3,54286
0.402093945,10.3,41662
0.390289584,13.2,53629
0.304110706,18,56421
0.240241676,22.9,68658
0.284082362,20.6,57949
0.430052804,23.7,43512
0.212374368,23.7,60666
0.321941182,19.8,57021
0.350690088,13.3,46175
0.24231673,29.6,64468
0.315725431,14.9,52874
0.273268149,21.1,62462
0.320830615,15.8,52034
0.282242348,18,55462
0.402438586,17.9,44356
0.349740749,14.9,51613
0.131986924,59.3,98173
0.191780607,30.8,74072
0.266074563,18.7,57712
0.146093976,37,81933
0.346398708,16.4,49832
0.33075159,21.6,52373
0.285845588,20.1,53632
0.344167346,16.7,51250
0.237636552,14.3,63892
0.387796167,11.4,47658
0.330080627,17.9,52718
0.337368187,12,54191
0.226042168,32.7,72440
0.319919726,16.9,47380
0.271231558,23.3,61366
0.320488475,10.5,64498
0.332265943,18,53658
0.315794011,22.6,56128
0.343002773,15.8,53610
0.376745757,18.4,49522
0.398700555,30.9,48316
0.32477874,19.7,52658
0.300356609,13.7,52726
0.372579371,13,50657
0.376035228,45.7,49839
0.304218697,18.2,55522
0.229192814,17.3,64335
0.352066773,11.9,55356
0.289484919,13.7,56789
0.172984414,14.7,60128
0.400818121,10.9,47917
0.364268899,13.1,49543
0.345763117,12,52618
0.298199087,16.1,52348
0.290754945,14.1,50194
0.208604822,28.4,71152
0.223622047,21.9,64196
0.376510772,12.8,49580
0.288427523,16.8,61047
0.372713811,14.3,48036
0.275245716,18,56332
0.342833248,13.9,54346
0.370839937,12,48700
0.255553775,18.7,60404
0.238120691,15.2,57305
0.320016259,29.6,52769
0.392816092,11.9,51190
0.297083253,21.8,58279
0.361103656,12.1,50245
0.379720854,10.9,49383
0.397887569,38.7,53130
0.28069126,24.7,58118
0.343986254,18.5,50375
0.355891177,27,49708
0.349010854,14.2,50243
0.412844971,25.1,45230
0.336601307,18.1,54259
0.250867195,19.4,60553
